Equipment_ID,Sensor_1,Sensor_2,Sensor_3,Environmental_Temperature,Environmental_Humidity,Production_Volume,Operating_Hours,Error_Code,Equipment_Age,Power_Consumption,Voltage_Fluctuations,Current_Fluctuations,Vibration_Analysis,Temperature_Gradients,Pressure_Levels,Failure_Maintenance_Indicator
340,20.09,20.39,0.007,20.8,50,1027,298,0,4,1484,7,4,0.4,22,22,1
854,29.08,27.6,0.007,21.6,55,1270,122,0,10,1510,8,4,0.4,19,23,0
911,24.64,24.99,0.008,20.2,52,1076,282,1,3,1581,6,3,0.6,20,20,1
448,29.61,25.9,0.003,23.7,41,1098,185,0,9,1489,6,4,0.6,21,19,1
40,28.57,20.33,0.009,23.8,52,1393,133,0,4,1539,7,1,0.7,21,24,1
650,27.69,29.03,0.007,22.3,46,1017,190,1,4,1550,6,5,0.4,22,21,0
329,26.54,27.85,0.009,24.3,55,1392,154,1,3,1592,6,4,0.5,18,23,1
342,25.32,20.15,0.008,20.0,53,1350,101,0,3,1513,4,5,0.7,20,24,0
334,25.93,20.34,0.003,21.8,57,1338,206,0,1,1402,6,4,0.5,21,21,1
707,22.3,25.95,0.004,21.5,40,1489,216,1,1,1528,5,2,0.6,24,20,0
263,27.04,27.77,0.007,24.8,46,1368,238,1,1,1478,8,4,0.4,23,22,1
387,26.55,21.7,0.009,22.8,57,1434,241,1,10,1424,8,5,0.6,18,20,0
702,20.74,21.67,0.004,24.7,45,1098,238,0,2,1446,8,1,0.5,18,22,0
59,20.01,25.42,0.009,21.8,41,1314,270,1,2,1547,3,5,0.5,18,22,0
41,25.0,23.97,0.001,24.0,43,1034,209,1,2,1573,4,3,0.6,19,23,1
932,28.51,23.46,0.009,20.3,54,1063,156,0,7,1401,3,3,0.4,22,20,0
262,23.13,28.08,0.003,23.9,57,1408,120,1,6,1576,3,2,0.6,18,19,0
398,24.62,27.1,0.003,21.0,41,1341,235,1,9,1549,8,1,0.6,23,23,0
412,27.06,21.59,0.007,24.8,42,1161,114,0,2,1411,7,2,0.5,18,18,0
821,25.26,25.15,0.008,23.1,57,1161,171,0,5,1439,4,2,0.6,23,24,0
833,26.69,29.51,0.009,23.4,43,1224,281,1,5,1419,3,2,0.5,23,19,1
96,27.33,24.6,0.002,20.8,48,1238,290,0,4,1404,6,5,0.6,21,23,1
733,29.63,24.24,0.006,24.1,44,1073,109,1,8,1582,7,3,0.6,21,22,1
352,25.65,22.63,0.002,22.4,52,1243,236,0,7,1405,3,2,0.7,18,23,0
959,25.94,23.55,0.008,23.9,41,1348,179,1,8,1552,3,4,0.5,18,18,0
934,28.85,21.52,0.006,24.9,60,1463,113,1,6,1521,8,5,0.7,24,22,0
295,28.66,23.2,0.005,21.3,45,1107,241,1,8,1515,5,3,0.4,21,24,0
459,20.89,22.08,0.002,24.9,52,1197,153,1,6,1554,5,3,0.5,23,22,1
349,24.98,25.22,0.001,23.9,45,1268,246,1,10,1416,6,5,0.5,24,23,0
929,27.71,23.15,0.008,21.9,44,1118,210,0,8,1532,3,3,0.5,21,20,0
893,29.05,21.49,0.008,24.0,55,1388,269,0,5,1541,8,4,0.4,23,19,0
923,27.64,27.08,0.002,22.6,40,1231,150,1,3,1487,6,1,0.5,19,24,1
373,24.26,25.17,0.008,20.4,46,1140,285,1,8,1578,7,3,0.6,18,22,1
634,24.6,29.14,0.004,22.7,54,1235,174,1,6,1515,8,1,0.5,20,20,0
410,26.7,28.49,0.006,20.9,41,1481,132,1,8,1414,6,5,0.5,22,23,1
308,26.46,26.85,0.007,23.4,55,1025,139,0,4,1489,5,1,0.6,21,21,1
911,25.08,20.25,0.007,22.4,40,1439,267,1,5,1583,6,2,0.4,24,21,1
230,23.21,20.97,0.005,24.0,42,1368,150,1,6,1412,7,4,0.5,19,20,0
849,21.56,29.61,0.002,22.4,41,1002,238,1,8,1560,3,3,0.7,19,22,0
284,25.47,20.51,0.004,22.5,44,1461,193,1,1,1441,5,2,0.4,21,21,1
345,25.22,29.62,0.003,20.1,58,1248,136,0,9,1501,7,5,0.4,24,20,0
705,21.41,27.28,0.009,23.1,60,1279,218,1,4,1461,4,1,0.5,20,20,1
140,24.87,20.96,0.005,21.4,44,1099,237,0,5,1439,3,2,0.6,20,23,0
692,29.28,26.05,0.005,23.8,60,1137,291,0,6,1474,3,2,0.4,21,20,1
628,26.76,27.01,0.006,24.3,43,1267,215,1,6,1475,8,4,0.6,23,19,0
380,23.4,21.5,0.006,23.9,43,1245,103,1,9,1567,6,1,0.6,24,24,0
543,29.64,20.43,0.008,24.9,60,1486,296,1,3,1492,3,2,0.6,22,20,1
66,29.95,28.39,0.007,21.7,51,1183,225,1,3,1444,8,1,0.5,19,18,0
475,20.42,23.21,0.005,22.6,42,1329,111,0,7,1469,6,5,0.7,21,21,0
63,21.7,21.35,0.008,22.0,49,1144,103,1,8,1450,5,3,0.5,21,21,0
206,26.33,21.9,0.005,25.0,43,1228,269,0,5,1415,5,3,0.6,22,24,1
402,23.43,23.98,0.009,24.3,50,1085,241,0,3,1509,6,3,0.6,23,19,1
221,22.4,20.59,0.006,23.8,49,1016,289,0,10,1420,4,1,0.5,18,18,0
95,27.68,22.18,0.004,20.6,55,1494,152,0,9,1577,7,5,0.6,18,24,0
838,22.83,21.07,0.004,22.0,48,1126,135,1,6,1434,6,5,0.5,19,24,0
245,27.55,24.12,0.001,21.3,56,1423,203,0,6,1448,7,5,0.4,21,24,0
51,25.39,28.61,0.01,21.6,46,1000,157,0,9,1469,7,2,0.6,23,20,0
587,29.49,29.89,0.005,20.5,58,1470,193,1,8,1438,6,4,0.6,20,18,0
701,29.37,25.08,0.01,20.9,43,1222,161,1,10,1414,5,1,0.4,18,21,1
566,21.19,25.19,0.002,21.2,44,1026,182,1,9,1554,4,4,0.4,18,18,0
631,22.11,21.05,0.003,24.9,49,1203,151,1,6,1420,5,5,0.4,18,19,0
764,25.54,22.68,0.008,20.2,49,1085,176,1,5,1416,3,5,0.6,19,19,1
858,23.38,22.07,0.007,24.5,53,1236,289,0,9,1545,7,1,0.4,18,19,0
103,24.25,22.25,0.007,20.2,42,1297,159,1,7,1506,6,2,0.7,18,21,0
637,27.44,28.26,0.006,21.6,44,1379,147,1,10,1407,4,3,0.5,20,19,1
103,23.21,28.7,0.003,22.7,47,1350,128,0,4,1417,5,4,0.6,24,18,0
542,24.61,25.94,0.008,25.0,49,1040,177,0,5,1448,8,1,0.5,19,21,1
845,23.79,22.99,0.007,20.5,40,1324,187,1,2,1538,3,5,0.4,21,19,1
191,20.63,23.28,0.007,24.4,58,1481,225,1,5,1405,8,5,0.6,23,23,0
315,24.5,22.0,0.002,23.1,41,1007,215,0,4,1563,4,2,0.6,19,24,0
776,20.25,23.66,0.004,21.3,57,1466,235,0,7,1411,5,5,0.7,19,23,0
923,29.46,26.86,0.01,23.2,41,1404,206,0,10,1437,8,3,0.4,19,21,0
585,21.29,21.22,0.001,23.5,59,1318,251,0,3,1576,3,5,0.5,19,19,0
792,28.14,29.82,0.006,22.3,54,1333,175,1,2,1508,7,4,0.7,19,21,1
443,25.52,28.36,0.003,20.4,43,1369,297,0,8,1478,5,1,0.7,20,18,0
675,21.3,21.22,0.01,23.8,47,1081,275,0,7,1506,6,5,0.6,23,21,0
778,23.37,26.8,0.007,24.6,48,1060,153,1,1,1524,7,1,0.7,21,21,0
44,24.72,29.5,0.006,22.6,48,1351,118,0,4,1423,6,2,0.5,21,19,0
7,27.29,25.6,0.009,21.7,53,1325,287,0,5,1597,8,5,0.6,19,22,0
292,24.27,20.18,0.004,23.3,42,1161,195,1,8,1535,5,5,0.5,18,23,0
841,23.0,24.02,0.002,21.1,56,1286,148,1,4,1420,7,4,0.7,20,22,0
111,26.78,23.18,0.006,22.6,41,1405,184,1,4,1542,6,2,0.5,23,21,1
92,25.64,20.23,0.004,22.9,52,1272,204,0,10,1540,8,5,0.5,18,24,0
629,26.36,24.4,0.003,24.1,44,1274,161,1,1,1515,5,1,0.6,22,18,1
273,26.39,20.96,0.001,22.6,41,1003,176,0,4,1470,5,3,0.5,23,23,1
28,28.7,26.22,0.01,23.8,59,1095,177,1,2,1526,4,2,0.6,20,19,0
749,22.09,20.01,0.004,22.4,41,1429,244,0,6,1429,4,5,0.5,24,18,1
16,23.7,25.1,0.007,22.4,51,1460,287,1,3,1492,5,3,0.7,18,22,0
101,22.7,25.74,0.001,20.3,58,1390,243,1,5,1543,3,3,0.6,20,19,1
773,28.76,24.78,0.008,20.1,60,1179,149,0,8,1522,7,4,0.4,21,21,1
472,21.58,22.25,0.004,24.4,60,1293,258,0,5,1571,3,1,0.5,18,20,1
56,21.0,29.46,0.003,24.4,55,1346,218,0,7,1533,5,4,0.4,22,22,0
304,20.22,24.08,0.01,24.7,45,1048,189,1,10,1424,5,1,0.6,21,20,1
822,20.89,29.72,0.005,24.1,43,1116,214,0,3,1542,3,1,0.6,24,22,1
155,29.95,20.04,0.002,23.6,53,1373,194,1,10,1518,6,2,0.4,24,24,0
52,26.02,24.54,0.008,23.4,55,1078,244,1,2,1487,5,4,0.5,24,23,0
162,20.82,25.77,0.009,21.0,49,1303,216,1,1,1555,8,2,0.5,21,19,0
365,26.97,26.19,0.004,20.6,42,1432,200,0,2,1446,8,4,0.5,20,21,1
705,28.49,25.69,0.001,20.8,58,1451,254,0,3,1578,5,2,0.7,19,22,0
272,23.29,27.19,0.002,20.8,53,1146,171,1,7,1402,3,3,0.5,24,23,0
902,25.56,21.0,0.002,20.8,53,1333,240,0,3,1463,8,3,0.6,18,19,1
219,29.45,29.31,0.006,20.0,50,1494,267,0,8,1545,6,3,0.6,24,19,1
853,29.8,29.67,0.004,21.5,50,1437,179,1,7,1538,8,2,0.6,21,23,1
231,25.69,20.77,0.007,22.6,42,1236,189,1,2,1429,6,4,0.7,18,19,1
775,27.51,20.57,0.002,21.8,42,1426,125,0,3,1539,6,4,0.4,19,20,1
692,28.25,20.67,0.008,20.5,54,1032,267,1,3,1464,3,4,0.7,18,20,1
204,20.06,27.63,0.003,24.1,46,1325,229,1,8,1597,7,1,0.6,23,23,0
403,28.01,28.11,0.007,21.4,43,1421,135,1,7,1547,8,3,0.6,21,24,1
438,24.12,23.56,0.008,21.6,48,1264,228,1,10,1583,4,5,0.6,22,18,1
881,26.87,20.59,0.007,23.8,58,1239,154,0,3,1550,4,5,0.6,18,19,1
862,20.77,20.47,0.007,21.7,51,1021,242,0,7,1560,8,3,0.5,24,23,1
637,29.52,26.72,0.004,23.3,49,1204,269,1,9,1565,5,3,0.5,22,21,1
445,22.17,21.31,0.008,24.4,47,1066,134,1,4,1574,7,2,0.7,22,22,0
239,22.44,22.54,0.006,21.6,53,1324,133,0,3,1435,8,2,0.4,24,24,0
41,28.0,26.15,0.005,20.0,51,1304,187,1,9,1432,4,4,0.7,21,21,0
535,25.77,20.02,0.003,23.8,48,1141,116,1,5,1425,8,1,0.5,22,19,0
124,26.4,25.92,0.006,24.9,58,1007,221,1,6,1516,6,2,0.6,23,23,1
470,23.94,24.67,0.006,22.2,48,1173,271,0,1,1541,7,2,0.5,24,22,1
708,27.54,27.47,0.008,21.3,58,1252,165,0,4,1551,6,1,0.7,23,21,0
83,21.77,27.56,0.003,24.0,44,1150,246,1,7,1556,6,1,0.7,21,23,0
857,25.87,20.63,0.007,22.4,41,1193,164,0,8,1434,7,4,0.7,23,23,1
452,23.83,23.35,0.006,20.8,48,1462,173,1,10,1492,3,5,0.4,20,20,0
769,24.36,21.51,0.006,21.6,40,1391,280,1,6,1594,5,5,0.4,21,20,1
493,21.33,26.02,0.002,23.6,55,1203,185,0,4,1459,6,4,0.5,20,23,0
424,28.24,27.91,0.006,23.1,60,1150,132,1,2,1480,3,4,0.6,23,21,0
982,21.08,24.97,0.003,23.9,51,1264,244,0,1,1585,3,3,0.4,20,20,0
723,21.36,20.45,0.002,23.2,45,1454,262,1,2,1594,5,1,0.5,23,18,1
843,28.31,29.07,0.002,23.0,43,1334,154,1,3,1421,4,5,0.5,22,21,0
646,28.74,29.46,0.008,20.6,49,1267,274,1,10,1596,5,1,0.5,23,24,0
15,25.38,28.15,0.007,23.8,59,1182,297,1,5,1565,4,5,0.6,21,24,1
326,23.48,22.26,0.007,22.6,46,1359,298,0,5,1550,5,3,0.5,24,23,1
511,26.09,20.27,0.005,23.8,49,1385,254,1,9,1537,5,4,0.7,24,22,0
944,26.07,20.95,0.009,21.1,48,1278,199,1,1,1444,3,4,0.4,18,23,1
599,29.78,27.12,0.003,24.4,58,1092,280,0,3,1444,5,1,0.4,22,21,0
781,26.79,26.74,0.007,23.0,60,1493,103,0,10,1430,8,5,0.4,21,24,1
932,28.89,20.83,0.007,21.9,59,1020,117,1,8,1510,7,3,0.6,23,24,1
653,29.22,25.12,0.008,23.9,48,1093,274,1,6,1515,7,3,0.6,18,20,0
974,25.67,24.24,0.008,24.3,41,1309,262,1,4,1514,4,4,0.6,22,20,0
119,24.48,23.97,0.009,21.8,58,1172,147,0,10,1465,4,2,0.7,19,24,0
467,26.15,21.18,0.003,23.9,49,1458,284,0,5,1503,5,4,0.6,18,22,0
645,21.18,23.99,0.008,20.8,54,1268,277,0,3,1594,5,2,0.7,22,24,1
974,27.91,25.24,0.003,20.3,40,1460,176,0,8,1459,7,5,0.6,20,22,1
503,22.28,21.2,0.008,21.4,43,1199,163,0,10,1474,8,1,0.5,21,18,1
507,25.49,28.57,0.01,20.6,44,1463,281,1,4,1537,5,4,0.6,21,20,0
509,29.48,20.8,0.004,21.0,50,1051,244,1,7,1530,8,3,0.4,21,20,1
224,29.26,28.42,0.003,20.0,52,1159,229,0,4,1449,5,1,0.5,19,24,0
319,24.79,26.92,0.003,22.8,50,1500,232,1,10,1482,3,5,0.4,18,23,0
641,25.44,24.05,0.009,23.9,53,1288,111,0,3,1526,4,3,0.6,22,23,1
740,25.39,24.93,0.006,20.1,47,1048,247,1,3,1452,6,1,0.6,21,20,1
950,24.59,22.43,0.01,20.1,48,1399,286,1,7,1478,5,4,0.5,24,19,0
800,20.49,25.17,0.003,20.5,46,1159,245,0,9,1476,8,5,0.6,23,19,1
680,20.97,21.03,0.008,23.9,48,1274,116,1,10,1566,7,2,0.6,24,22,1
501,29.93,22.44,0.009,20.7,56,1072,207,1,6,1460,7,3,0.6,18,22,1
610,26.0,29.87,0.003,23.9,55,1443,173,0,4,1435,3,2,0.7,19,22,1
495,27.07,25.38,0.004,24.7,51,1448,249,0,7,1596,3,1,0.5,19,21,1
883,27.84,29.72,0.007,21.7,58,1387,175,1,10,1594,4,4,0.4,18,23,1
682,24.94,28.6,0.006,20.4,56,1338,112,1,2,1574,6,4,0.6,18,24,0
459,25.65,25.06,0.009,22.6,60,1380,269,0,5,1457,6,3,0.4,22,22,0
666,27.38,20.79,0.002,23.9,42,1093,226,0,3,1538,7,5,0.6,19,18,1
184,21.51,29.62,0.007,23.1,43,1317,236,0,1,1567,8,3,0.5,18,24,0
33,25.75,24.21,0.005,21.8,43,1485,184,1,4,1431,5,4,0.4,20,21,0
367,22.35,25.38,0.004,24.8,55,1426,255,0,1,1465,5,4,0.7,18,22,0
400,20.07,29.97,0.006,21.1,56,1102,151,1,9,1496,4,5,0.5,22,20,0
383,28.59,28.81,0.002,23.4,58,1206,177,1,7,1472,4,4,0.5,19,18,0
336,22.13,27.44,0.002,22.5,54,1476,105,1,5,1420,5,4,0.5,24,18,0
380,22.41,29.64,0.003,21.6,53,1170,152,1,10,1521,3,4,0.4,24,19,1
922,20.09,27.6,0.006,20.7,43,1445,169,0,2,1546,6,3,0.6,19,20,0
792,22.22,26.71,0.005,23.3,50,1154,198,1,10,1576,7,3,0.5,18,23,0
507,22.52,20.71,0.008,20.9,60,1441,232,0,4,1460,7,1,0.4,21,20,0
297,20.63,24.52,0.008,21.5,60,1295,271,0,8,1432,4,1,0.6,22,21,1
476,29.44,24.93,0.002,22.4,44,1457,173,1,4,1427,5,1,0.5,19,18,1
968,22.78,23.45,0.008,24.5,47,1039,192,0,7,1511,6,4,0.6,24,21,0
40,29.87,28.24,0.007,23.8,44,1460,172,1,8,1411,4,2,0.4,20,23,1
570,27.21,23.37,0.004,20.9,42,1472,108,0,6,1474,5,1,0.7,20,19,0
461,27.27,27.3,0.002,24.4,48,1397,229,0,7,1494,5,5,0.6,21,24,1
103,22.13,26.66,0.009,25.0,54,1287,136,0,2,1442,6,3,0.5,18,22,0
242,25.82,23.25,0.003,21.7,60,1391,225,1,8,1439,4,5,0.4,23,20,0
490,29.76,21.94,0.009,21.9,50,1081,106,1,9,1540,4,1,0.5,24,18,1
342,24.77,20.3,0.003,20.3,49,1252,244,0,7,1405,6,1,0.5,19,23,1
187,26.96,22.95,0.007,24.4,53,1357,226,1,10,1534,4,5,0.7,24,19,1
108,23.76,21.03,0.006,20.6,48,1496,183,0,2,1573,6,1,0.7,24,18,0
942,22.95,27.09,0.009,20.7,57,1293,215,1,2,1485,7,4,0.4,20,21,1
426,29.8,20.03,0.003,20.0,47,1158,145,1,9,1576,4,3,0.4,22,24,1
734,20.5,24.09,0.005,20.2,40,1065,144,1,8,1558,3,5,0.7,22,21,1
864,26.4,23.1,0.003,22.4,43,1500,209,1,8,1476,4,5,0.5,23,18,0
921,23.33,23.15,0.005,23.3,60,1085,292,0,6,1535,6,3,0.6,24,19,0
609,24.31,25.87,0.003,23.5,56,1377,213,0,9,1519,5,2,0.6,22,20,1
863,23.85,21.64,0.004,21.1,43,1107,127,0,4,1582,5,5,0.7,21,18,1
982,21.73,23.81,0.006,22.2,49,1281,131,0,9,1457,8,4,0.5,23,19,0
127,24.51,28.11,0.004,23.5,51,1477,206,1,7,1523,8,5,0.5,22,22,1
523,22.81,25.85,0.007,20.3,42,1435,271,0,2,1475,8,2,0.5,21,19,1
293,23.81,23.62,0.003,24.2,47,1229,293,0,6,1489,7,1,0.7,21,20,1
809,26.98,24.1,0.007,23.4,52,1132,118,0,9,1480,6,3,0.5,23,22,0
731,21.73,26.06,0.01,25.0,49,1214,272,0,2,1436,8,4,0.5,22,24,1
7,29.35,23.25,0.001,22.6,41,1476,181,1,2,1597,5,2,0.5,19,23,1
673,21.53,21.72,0.006,22.5,41,1230,172,1,6,1525,8,2,0.6,20,22,1
665,27.04,24.1,0.005,21.6,50,1038,201,1,1,1512,3,4,0.6,22,18,0
905,24.41,28.93,0.009,24.8,40,1342,191,0,8,1537,5,1,0.5,24,20,1
631,23.88,26.93,0.01,24.1,43,1173,198,0,6,1533,5,4,0.4,20,19,1
136,28.17,25.2,0.007,21.3,48,1168,117,1,6,1495,3,5,0.7,21,20,1
654,22.86,23.89,0.005,22.8,51,1441,241,0,6,1481,7,4,0.5,22,19,1
1000,21.85,20.51,0.005,20.7,42,1328,103,0,3,1443,5,1,0.6,20,19,0
379,27.8,29.16,0.008,21.0,49,1176,148,0,1,1509,8,5,0.7,22,23,0
677,25.6,27.73,0.007,24.3,50,1119,269,1,1,1457,7,4,0.6,18,24,0
643,27.7,23.83,0.008,22.9,59,1012,258,1,5,1568,3,3,0.5,20,18,1
900,23.43,23.29,0.004,23.7,49,1174,288,0,7,1423,7,5,0.6,23,20,0
95,28.97,29.25,0.009,23.3,48,1097,235,1,9,1439,7,4,0.6,24,18,1
423,23.59,28.05,0.003,20.8,54,1099,199,0,1,1481,5,2,0.5,23,23,0
186,24.35,20.03,0.008,21.0,56,1282,215,1,10,1599,3,3,0.7,19,24,1
423,26.87,26.87,0.009,23.6,58,1298,223,0,2,1406,8,1,0.7,19,20,0
151,25.73,27.76,0.006,24.2,55,1421,174,1,2,1567,5,1,0.5,18,23,0
966,27.8,27.11,0.004,23.0,49,1390,249,1,9,1535,8,4,0.6,22,18,0
916,20.65,21.28,0.005,23.6,59,1055,189,1,10,1579,6,5,0.5,21,19,1
184,21.89,25.4,0.003,23.2,51,1391,179,1,4,1558,3,4,0.5,23,21,1
240,26.6,26.54,0.004,20.9,46,1228,212,1,8,1452,6,5,0.4,20,20,0
946,24.17,25.91,0.01,20.8,53,1058,200,1,8,1563,7,3,0.5,22,21,1
394,26.24,21.66,0.008,21.4,56,1480,207,0,9,1437,4,3,0.5,20,22,0
256,23.08,28.52,0.007,21.0,53,1387,220,1,7,1454,8,5,0.6,24,21,0
984,28.26,26.7,0.007,24.8,55,1277,292,0,4,1566,5,4,0.4,22,23,0
40,28.37,24.51,0.009,21.2,42,1199,116,1,8,1594,5,4,0.7,20,22,0
243,28.24,29.75,0.004,20.2,55,1430,221,0,9,1419,3,5,0.5,22,19,0
209,23.58,25.98,0.009,21.9,44,1325,131,0,9,1429,3,1,0.5,24,23,0
406,23.07,29.76,0.003,23.5,48,1489,194,0,4,1574,7,3,0.4,23,19,0
184,23.14,23.36,0.005,23.0,58,1177,191,0,1,1425,4,2,0.6,18,24,0
443,26.81,26.35,0.006,22.6,47,1159,217,0,3,1532,3,3,0.6,20,21,1
347,23.53,23.46,0.005,23.4,46,1095,295,1,5,1479,7,2,0.5,20,24,0
624,26.24,29.22,0.007,21.9,44,1027,179,1,3,1583,5,5,0.5,20,22,0
866,21.98,27.2,0.002,24.7,49,1336,151,1,10,1584,8,4,0.7,19,21,1
186,24.44,26.72,0.005,24.5,55,1483,243,1,9,1422,3,1,0.7,23,23,0
274,23.15,28.61,0.005,20.1,57,1022,198,0,9,1486,3,5,0.5,21,21,1
344,24.14,27.96,0.007,24.0,40,1315,121,0,10,1495,4,4,0.7,22,18,0
914,28.91,20.24,0.006,22.3,57,1432,186,1,2,1412,7,5,0.6,21,19,0
483,25.04,27.39,0.006,23.8,51,1033,118,1,9,1486,6,3,0.4,20,19,1
388,21.85,24.97,0.002,22.8,55,1024,176,1,2,1452,7,4,0.7,24,20,1
579,25.32,24.02,0.006,23.5,41,1215,149,1,7,1526,6,1,0.6,20,20,1
380,28.28,24.4,0.005,24.7,45,1203,182,0,7,1440,3,5,0.5,18,20,1
8,22.36,21.96,0.001,24.0,51,1376,240,1,1,1481,8,2,0.5,18,24,1
789,25.54,23.35,0.007,23.7,45,1470,221,0,3,1404,4,5,0.7,22,24,0
246,28.33,26.11,0.005,24.9,56,1277,124,1,10,1442,4,3,0.4,20,18,0
430,28.6,24.34,0.002,21.1,52,1477,137,1,2,1511,4,5,0.4,23,20,1
265,21.72,23.87,0.009,20.3,54,1297,163,1,7,1495,7,2,0.5,21,23,1
213,27.35,24.38,0.006,24.1,48,1279,283,0,5,1564,6,4,0.7,19,22,1
349,29.16,24.79,0.009,22.8,48,1356,135,0,7,1460,3,4,0.5,21,24,0
159,29.25,29.5,0.001,24.3,49,1393,178,0,4,1571,8,2,0.6,24,21,0
121,24.68,26.58,0.001,20.9,54,1111,256,0,4,1519,5,5,0.4,24,20,1
340,24.93,20.89,0.01,21.2,43,1147,300,1,9,1474,6,1,0.6,20,23,0
174,28.36,24.0,0.004,20.9,45,1109,145,0,1,1420,6,2,0.6,24,19,0
352,26.13,23.32,0.006,23.8,53,1469,200,0,6,1517,7,5,0.6,23,22,1
836,20.53,29.9,0.005,21.3,43,1400,246,0,7,1564,8,1,0.4,24,21,1
889,23.17,28.48,0.006,21.2,51,1225,240,1,7,1462,7,2,0.7,21,20,1
688,21.87,28.0,0.008,20.2,41,1302,294,1,2,1504,6,1,0.6,22,20,0
252,28.1,22.71,0.006,20.2,43,1034,102,0,10,1468,7,2,0.4,18,22,0
503,23.95,21.27,0.004,24.7,60,1384,281,1,10,1475,4,3,0.4,18,23,1
174,21.19,27.61,0.006,23.3,46,1409,263,0,1,1536,5,1,0.5,22,23,1
245,22.39,22.38,0.007,24.9,48,1266,146,1,10,1547,8,5,0.6,18,23,1
81,23.96,22.36,0.006,24.6,55,1303,168,1,3,1544,4,1,0.5,21,22,0
498,21.83,22.71,0.004,25.0,47,1310,236,1,5,1408,4,3,0.5,19,24,1
381,23.4,26.56,0.003,24.5,54,1109,255,1,7,1418,5,3,0.5,18,21,1
385,29.32,21.57,0.004,24.2,53,1493,282,1,6,1456,7,4,0.6,24,24,1
572,21.3,27.22,0.004,20.0,48,1182,229,1,3,1520,3,3,0.5,23,23,1
641,26.47,25.41,0.009,21.9,40,1359,115,1,7,1598,3,5,0.6,24,24,1
823,22.37,24.81,0.001,20.2,45,1403,263,0,1,1476,7,3,0.4,21,18,1
